Date,Revenue,COGS,Operating_Expenses,Marketing_Expenses,Administrative_Expenses,RD_Expenses,Gross_Profit,Operating_Profit,Net_Profit,Gross_Profit_Margin,Operating_Profit_Margin,Net_Profit_Margin,Customer_Segment,Product_Service,Department_Business_Unit
2020-01,127135.17,22291.6,21043.36,13869.54,3675.73,5928.54,104843.57,60326.39,58868.26,0.82,0.47,0.46,Business Customers,Amazon Web Services (AWS),AWS
2020-01,138862.19,42121.04,21786.98,9437.6,11359.96,6764.35,96741.15,47392.26,42404.3,0.7,0.34,0.31,Business Customers,Amazon Web Services (AWS),Sales
2020-01,56967.56,31566.45,20807.05,4350.21,3315.15,3335.04,25401.11,-6406.35,-9108.57,0.45,-0.11,-0.16,Prime Members,Electronics,Sales
2020-01,141131.73,22452.31,9974.8,5494.37,10100.79,1761.84,118679.42,91347.62,88954.69,0.84,0.65,0.63,Prime Members,Electronics,Sales
2020-02,75578.62,34413.35,15458.35,4582.38,6628.87,2073.45,41165.27,12422.22,8581.38,0.54,0.16,0.11,Prime Members,Electronics,Marketing
2020-02,59757.74,38646.03,23773.49,5209.14,12255.88,3021.24,21111.71,-23148.05,-25603.64,0.35,-0.39,-0.43,International Customers,Amazon Prime Video,Sales
2020-02,192332.83,20904.96,7534.32,5983.4,5037.98,5501.78,171427.87,147370.39,143037.29,0.89,0.77,0.74,Prime Members,Electronics,Marketing
2020-02,194844.81,26541.96,11946.32,9216.74,10309.62,8563.98,168302.84,128266.17,125449.09,0.86,0.66,0.64,International Customers,Amazon Prime Video,Operations
2020-02,171259.6,14875.44,11907.98,9643.89,5063.87,7311.64,156384.16,122456.78,118578.54,0.91,0.72,0.69,Non-Prime Members,Amazon Prime Video,Marketing
2020-02,95692.07,17245.97,15800.47,7544.5,11277.58,8101.37,78446.09,35722.17,34292.36,0.82,0.37,0.36,International Customers,Amazon Prime Video,Sales
2020-02,64650.82,37244.71,29509.22,10000.47,13357.81,4158.78,27406.1,-29620.18,-34004.66,0.42,-0.46,-0.53,Prime Members,Electronics,Sales
2020-02,152634.95,17257.53,6687.56,3060.47,3648.42,4641.88,135377.42,117339.08,113396.2,0.89,0.77,0.74,Non-Prime Members,Amazon Prime Video,Sales
2020-02,116022.87,31006.54,17967.52,3141.25,13265.74,4543.14,85016.34,46098.69,44251.82,0.73,0.4,0.38,International Customers,Amazon Prime Video,Operations
2020-02,68305.74,38361.85,9484.12,4233.78,9716.48,2726.86,29943.88,3782.65,2201.5,0.44,0.06,0.03,International Customers,Amazon Prime Video,Operations
2020-02,124276.54,14275.08,29266.91,8735.01,3652.44,1550.95,110001.46,66796.15,64530.98,0.89,0.54,0.52,Business Customers,Amazon Web Services (AWS),Sales
2020-02,55158.28,32692.49,7832.59,4781.93,7558.04,6318.24,22465.79,-4025.02,-8929.3,0.41,-0.07,-0.16,Non-Prime Members,Amazon Prime Video,Sales
2020-02,186398.06,20262.51,15090.03,5682.7,4091.18,9902.95,166135.55,131368.69,129341.37,0.89,0.7,0.69,Business Customers,Amazon Web Services (AWS),Sales
2020-02,88817,48517.08,23447.12,7204.07,11104.52,2501.47,40299.92,-3957.26,-6781.77,0.45,-0.04,-0.08,Non-Prime Members,Amazon Prime Video,Sales
2020-02,149378.34,29341.83,22613.86,12554.26,11865.29,1420.16,120036.52,71582.95,70462.87,0.8,0.48,0.47,International Customers,Amazon Prime Video,Sales
2020-02,96756.66,42239.7,15568.22,2180.21,3375.35,8015.79,54516.96,25377.4,22788.49,0.56,0.26,0.24,Business Customers,Amazon Web Services (AWS),AWS
2020-02,128010.2,32009.06,13663.1,10441.92,8579.82,3273.27,96001.14,60043.02,56757.74,0.75,0.47,0.44,Prime Members,Electronics,Sales
2020-02,132006.54,11736.5,14940.31,10695.39,12590.13,8466.79,120270.04,73577.42,68764.92,0.91,0.56,0.52,International Customers,Amazon Prime Video,Sales
2020-02,77728.17,35326.06,11606.91,12382.53,14170.12,7335.43,42402.11,-3092.87,-6159.81,0.55,-0.04,-0.08,Non-Prime Members,Amazon Prime Video,Sales
2020-02,195437.69,48056.13,10133.32,14125.79,8675.73,9511.06,147381.56,104935.65,100659.23,0.75,0.54,0.52,Non-Prime Members,Amazon Prime Video,Sales
2020-02,166269.92,34064.47,17075.99,2261.79,14353.63,4680.35,132205.45,93833.69,90645.18,0.8,0.56,0.55,Business Customers,Amazon Web Services (AWS),AWS
2020-02,190924.84,42767.55,11713.34,3999.19,8963.96,6957.73,148157.29,116523.07,115359.93,0.78,0.61,0.6,Business Customers,Amazon Web Services (AWS),Sales
2020-02,184224.1,45368.26,12186.54,13520.23,7124.48,5183.69,138855.84,100840.91,98580.87,0.75,0.55,0.54,Non-Prime Members,Amazon Prime Video,Sales
2020-02,139685,19123.19,21418.9,7960.74,13026.64,6675.3,120561.81,71480.22,68178.03,0.86,0.51,0.49,International Customers,Amazon Prime Video,Sales
2020-02,188281.14,18481.79,29213.43,9339.68,8408.78,5046.39,169799.34,117791.06,112988.69,0.9,0.63,0.6,Business Customers,Amazon Web Services (AWS),Sales
2020-02,63273.88,34439.24,20090.93,10619.35,8134.73,2697.69,28834.64,-12708.07,-17144.59,0.46,-0.2,-0.27,Prime Members,Electronics,Marketing
2020-02,79397.43,26441.14,6924.49,10827.87,8374.06,5571.08,52956.29,21258.8,19345.38,0.67,0.27,0.24,Non-Prime Members,Amazon Prime Video,Marketing
2020-02,56784.09,43594.45,6889.59,14112.63,13008.21,5757.26,13189.64,-26578.04,-28458.48,0.23,-0.47,-0.5,Prime Members,Electronics,Marketing
2020-03,98799.55,46000.92,28785.58,14960.34,12815.24,8295.43,52798.62,-12057.97,-13862.66,0.53,-0.12,-0.14,Non-Prime Members,Amazon Prime Video,Sales
2020-03,108301.59,24136.86,12432.27,11362.05,7245.76,7619.69,84164.74,45504.98,40814.98,0.78,0.42,0.38,Prime Members,Electronics,Marketing
2020-03,90702.35,19474.82,7301.67,5733.88,6332.9,6974.12,71227.53,44884.96,40474.29,0.79,0.49,0.45,International Customers,Amazon Prime Video,Operations
2020-03,174310.63,41221.02,19976.11,13436.78,8395.06,2020.48,133089.61,89261.16,85161.63,0.76,0.51,0.49,Non-Prime Members,Amazon Prime Video,Marketing
2020-03,103513,20992.24,20591.22,2639.87,9446.04,7485.55,82520.76,42358.08,39787.14,0.8,0.41,0.38,International Customers,Amazon Prime Video,Operations
2020-03,92140.18,42904.57,21212.62,5004.05,5098.38,5502.75,49235.6,12417.8,9400.28,0.53,0.13,0.1,Business Customers,Amazon Web Services (AWS),AWS
2020-03,131404.41,26949.53,11685.05,13666.01,12321.42,9046.9,104454.88,57735.51,54878.18,0.79,0.44,0.42,Non-Prime Members,Amazon Prime Video,Marketing
2020-03,71138.63,36702,5377.77,5330.49,8324.28,9278.84,34436.64,6125.27,4111.67,0.48,0.09,0.06,International Customers,Amazon Prime Video,Operations
2020-03,170329.55,13821.41,29125.38,4868.46,6342.59,1496.41,156508.13,114675.29,111655.17,0.92,0.67,0.66,Prime Members,Electronics,Marketing
2020-03,61182.6,34954.37,11272.33,3795.63,3388.67,8385.77,26228.22,-614.18,-1736.16,0.43,-0.01,-0.03,International Customers,Amazon Prime Video,Operations
2020-03,198033.04,28070.71,21900.66,13168.45,5104.99,1339.28,169962.33,128448.96,126921.72,0.86,0.65,0.64,Non-Prime Members,Amazon Prime Video,Sales
2020-03,165836.72,33464.34,22665.75,8500.76,14340.66,4304.53,132372.38,82560.69,78014.33,0.8,0.5,0.47,International Customers,Amazon Prime Video,Operations
2020-03,79807.35,16720.57,20250.19,10773.61,5966.3,5880.7,63086.78,20215.99,16209.27,0.79,0.25,0.2,Prime Members,Electronics,Marketing
2020-03,50828.32,39474.95,12822.68,5107.86,4195.17,2332.91,11353.37,-13105.26,-15796.73,0.22,-0.26,-0.31,Prime Members,Electronics,Marketing
2020-03,172319.21,44511.88,11777.41,11854.53,7988.75,7716.82,127807.33,88469.83,85401.23,0.74,0.51,0.5,Prime Members,Electronics,Sales
2020-03,156028.6,18669.59,19941.71,11880.07,5992.14,1075.19,137359.01,98469.9,95989.9,0.88,0.63,0.62,Business Customers,Amazon Web Services (AWS),Sales
2020-03,159351.08,13828.58,26652.39,6063.77,2457.07,2517.39,145522.49,107831.87,103868.75,0.91,0.68,0.65,Non-Prime Members,Amazon Prime Video,Marketing
2020-03,165690.55,10945.54,28668.34,7338.87,6200.89,6227.17,154745.01,106309.73,102172.98,0.93,0.64,0.62,Prime Members,Electronics,Sales
2020-03,61106.7,35678.86,7647.65,4725.97,9073.41,7429.49,25427.84,-3448.68,-7501.82,0.42,-0.06,-0.12,Business Customers,Amazon Web Services (AWS),Sales
2020-03,103769.86,34283.76,8870.72,14695.29,9172.26,9249.79,69486.1,27498.04,23607.59,0.67,0.26,0.23,Prime Members,Electronics,Sales
2020-03,67380.36,31867.9,28618.41,10392.83,6635.27,7349.47,35512.46,-17483.51,-19301.53,0.53,-0.26,-0.29,International Customers,Amazon Prime Video,Sales
2020-03,179465.51,19277.88,23413.38,14149.07,7814.94,7046.01,160187.63,107764.23,105412.35,0.89,0.6,0.59,Non-Prime Members,Amazon Prime Video,Marketing
2020-03,143494.72,25636.24,27074.85,5944.01,14551.73,4549.07,117858.48,65738.82,62859.44,0.82,0.46,0.44,International Customers,Amazon Prime Video,Operations
2020-03,99634.7,33779.05,10065.82,12164.58,6905.53,1011.56,65855.65,35708.16,33384.99,0.66,0.36,0.34,Business Customers,Amazon Web Services (AWS),AWS
2020-03,59533.75,29870.67,19689.65,11956.16,5356.95,2081.43,29663.08,-9421.11,-13440.87,0.5,-0.16,-0.23,International Customers,Amazon Prime Video,Sales
2020-03,96647.35,49511.42,22528.49,10991.52,5165.07,5810.99,47135.93,2639.85,322.44,0.49,0.03,0,International Customers,Amazon Prime Video,Operations
2020-03,98777.5,15457.59,22002.8,14553.31,7950.94,7076.17,83319.91,31736.7,30183.77,0.84,0.32,0.31,Prime Members,Electronics,Sales
2020-03,159440.93,37805.78,15203.79,7116.22,11873.76,4757.03,121635.14,82684.34,80088.17,0.76,0.52,0.5,International Customers,Amazon Prime Video,Sales
2020-03,145633.62,26172.75,5384.87,3699.33,4677.85,7576.11,119460.87,98122.71,93203.06,0.82,0.67,0.64,Prime Members,Electronics,Marketing
2020-03,183081.91,27127.98,19573.15,10732.22,11220.85,5696.76,155953.93,108730.95,106827.42,0.85,0.59,0.58,Prime Members,Electronics,Sales
2020-03,120832.24,38703.91,11327.54,11481.03,2274.95,1667.59,82128.33,55377.23,51928.59,0.68,0.46,0.43,Non-Prime Members,Amazon Prime Video,Sales
2020-04,67939.14,37697.45,16256.36,9475.79,7446.13,2728.15,30241.69,-5664.73,-8396.62,0.45,-0.08,-0.12,Business Customers,Amazon Web Services (AWS),AWS
2020-04,156986.72,49650.24,28939.53,4688.63,12086.25,8559.98,107336.48,53062.09,51777.99,0.68,0.34,0.33,Business Customers,Amazon Web Services (AWS),AWS
2020-04,164117.76,15135.77,14975.88,8557.93,6403.53,7524.21,148981.99,111520.43,108568.93,0.91,0.68,0.66,Business Customers,Amazon Web Services (AWS),AWS
2020-04,134191.58,14164.39,25995.04,6058.47,9328.58,9052.86,120027.19,69592.25,65783.59,0.89,0.52,0.49,Prime Members,Electronics,Sales
2020-04,165645.08,38973.55,9713.52,7557.06,4664.73,2058.02,126671.52,102678.2,99625.32,0.76,0.62,0.6,Business Customers,Amazon Web Services (AWS),Sales
2020-04,124069.34,33135.48,21811.51,10387.84,11645.94,9912,90933.86,37176.57,32688.14,0.73,0.3,0.26,Prime Members,Electronics,Sales
2020-04,128409.92,20966.43,29425.17,11687.79,2679.63,2884.66,107443.5,60766.24,58610.5,0.84,0.47,0.46,Non-Prime Members,Amazon Prime Video,Marketing
2020-04,114131.15,13176.77,7547.33,5018.92,13083.05,1106.02,100954.38,74199.06,72854.06,0.88,0.65,0.64,Business Customers,Amazon Web Services (AWS),Sales
2020-04,53812.87,13426.33,5208,7269.23,4576.55,9976.81,40386.54,13355.95,8609.69,0.75,0.25,0.16,Prime Members,Electronics,Marketing
2020-04,66183.71,45767.63,15839.57,5499.1,13367.17,3529.66,20416.08,-17819.43,-20332.22,0.31,-0.27,-0.31,Business Customers,Amazon Web Services (AWS),Sales
2020-04,54714.38,17674.69,7315.64,4582.21,6582.88,7012.18,37039.68,11546.78,8241.16,0.68,0.21,0.15,Business Customers,Amazon Web Services (AWS),Sales
2020-04,145461.56,22934.86,23709.61,12184.03,11394.89,2590.14,122526.7,72648.03,68480.02,0.84,0.5,0.47,Non-Prime Members,Amazon Prime Video,Marketing
2020-04,97153.4,19066.26,27863.72,13820.29,6149.93,6222.06,78087.14,24031.15,21733.9,0.8,0.25,0.22,International Customers,Amazon Prime Video,Operations
2020-04,126285.6,24199.85,15850.52,6813.02,13776.85,9136.31,102085.75,56509.04,52644.38,0.81,0.45,0.42,Business Customers,Amazon Web Services (AWS),Sales
2020-04,186134.97,12776.95,11467.79,11766.63,3646.28,3881.63,173358.02,142595.69,141054.01,0.93,0.77,0.76,Non-Prime Members,Amazon Prime Video,Sales
2020-04,87393.83,30762.39,15860.08,13660.94,4320.76,7032.29,56631.44,15757.38,13592.2,0.65,0.18,0.16,Business Customers,Amazon Web Services (AWS),Sales
2020-04,111557.44,12704.5,23086.2,12999.61,8409.39,2691.13,98852.94,51666.6,50087.76,0.89,0.46,0.45,Business Customers,Amazon Web Services (AWS),Sales
2020-04,163332.67,42014.26,5226.35,4376.57,3065.2,6623.16,121318.41,102027.12,97782.2,0.74,0.62,0.6,Business Customers,Amazon Web Services (AWS),Sales
2020-04,84319.72,19348.48,19736.35,14431.79,4547.74,4028.05,64971.24,22227.3,20336.7,0.77,0.26,0.24,Business Customers,Amazon Web Services (AWS),AWS
2020-04,61546.99,31600.48,20332.29,6896.79,14268.96,2900.87,29946.51,-14452.41,-18322.03,0.49,-0.23,-0.3,International Customers,Amazon Prime Video,Operations
2020-04,93462.72,45203.16,20942.21,6410.13,14694.37,3818.64,48259.55,2394.22,-2378.98,0.52,0.03,-0.03,International Customers,Amazon Prime Video,Sales
2020-04,74183.19,36035.09,11050.55,2811.61,6891.37,2609.57,38148.1,14785,11673.91,0.51,0.2,0.16,Business Customers,Amazon Web Services (AWS),Sales
2020-04,189454.65,31318.31,22851.32,8320.26,14002.72,9117.24,158136.34,103844.8,100684.68,0.83,0.55,0.53,Business Customers,Amazon Web Services (AWS),Sales
2020-04,171218.06,22973.35,7284.79,3417.18,9082.72,4574.68,148244.71,123885.34,121041.21,0.87,0.72,0.71,Non-Prime Members,Amazon Prime Video,Sales
2020-04,145010.56,23320.08,9981.76,5231.02,5506.65,3207.51,121690.49,97763.55,95459.98,0.84,0.67,0.66,Non-Prime Members,Amazon Prime Video,Marketing
2020-04,180719.09,36779.48,26936.75,6120.25,11131.18,5035.67,143939.61,94715.75,91813.13,0.8,0.52,0.51,Prime Members,Electronics,Sales
2020-04,170550.81,49765.57,23468.08,12514.74,10565.72,3884.83,120785.24,70351.87,66940.64,0.71,0.41,0.39,International Customers,Amazon Prime Video,Sales
2020-04,77985.51,36473.57,5343.64,13381.35,14858.63,7699.77,41511.94,228.55,-4715.42,0.53,0,-0.06,Business Customers,Amazon Web Services (AWS),Sales
2020-04,183883.85,32311.34,11209.41,5932.06,5445.61,9740.98,151572.51,119244.45,114493.39,0.82,0.65,0.62,International Customers,Amazon Prime Video,Operations
2020-04,130901.34,39226.02,10360.16,13163.08,10736.77,4942.3,91675.32,52473,48024.39,0.7,0.4,0.37,Non-Prime Members,Amazon Prime Video,Sales
2020-05,171116.02,28608.22,11770.16,13144,2676.31,8749.3,142507.8,106168.03,101611.51,0.83,0.62,0.59,International Customers,Amazon Prime Video,Sales
2020-05,184413.7,12405.69,11188.99,11940.46,3477.4,6092.77,172008,139308.38,136436.98,0.93,0.76,0.74,International Customers,Amazon Prime Video,Operations
2020-05,97700.52,32491.87,6563.16,3907.04,2050.94,2415.12,65208.65,50272.39,46642.62,0.67,0.51,0.48,Business Customers,Amazon Web Services (AWS),Sales
2020-05,66507.79,48305.01,16473.51,10974.2,14992.99,7215.6,18202.78,-31453.53,-36033.79,0.27,-0.47,-0.54,Business Customers,Amazon Web Services (AWS),Sales
2020-05,84190.27,17012.12,23318.34,14285.31,12429.56,5620.91,67178.16,11524.04,8952.24,0.8,0.14,0.11,Non-Prime Members,Amazon Prime Video,Sales
2020-05,114066.17,37600.2,20168.29,10873.03,12227.4,6855.46,76465.97,26341.8,21494.75,0.67,0.23,0.19,Business Customers,Amazon Web Services (AWS),Sales
2020-05,172702.21,18037.35,21821.79,6311.02,8626.44,9007.19,154664.87,108898.43,106235.29,0.9,0.63,0.62,Non-Prime Members,Amazon Prime Video,Sales
2020-05,179109.59,31433.11,7028.73,8507.53,5900.87,4963.91,147676.48,121275.44,117871.11,0.82,0.68,0.66,Non-Prime Members,Amazon Prime Video,Marketing
2020-05,51042.82,13867.06,28787.27,10394.43,3966.44,9110.6,37175.76,-15082.97,-18922.18,0.73,-0.3,-0.37,Prime Members,Electronics,Sales
2020-05,126612.1,28014.84,25962.3,8637.42,5700.77,7756.02,98597.26,50540.75,45738.39,0.78,0.4,0.36,Prime Members,Electronics,Sales
2020-05,112611.65,40246.53,25127.26,3559.39,6887.63,5397.44,72365.12,31393.4,29414.94,0.64,0.28,0.26,Prime Members,Electronics,Marketing
2020-05,83316.17,23902.86,25574.6,6056.83,11832.03,6429,59413.31,9520.85,5536.33,0.71,0.11,0.07,International Customers,Amazon Prime Video,Sales
2020-05,67979.81,36596.47,28317.76,12431.15,9015.6,3930.23,31383.34,-22311.41,-25394.67,0.46,-0.33,-0.37,Prime Members,Electronics,Sales
2020-05,100642.28,41818,18606.35,13198.43,3007.29,9852.38,58824.28,14159.83,12085.6,0.58,0.14,0.12,Business Customers,Amazon Web Services (AWS),AWS
2020-05,191436.46,47087.11,10007.05,3784.9,2234.38,7006.16,144349.34,121316.85,117210.43,0.75,0.63,0.61,Business Customers,Amazon Web Services (AWS),AWS
2020-05,98480.44,19385.68,20419.59,14381.03,3330.32,1394.62,79094.76,39569.2,36360.31,0.8,0.4,0.37,Prime Members,Electronics,Sales
2020-05,127818.59,25972.64,23572.04,6274.69,7336.48,3939.6,101845.96,60723.14,57079.25,0.8,0.48,0.45,International Customers,Amazon Prime Video,Operations
2020-05,155452.84,16096.64,23447.93,10610.08,14131.51,6609.83,139356.2,84556.85,82265.25,0.9,0.54,0.53,Non-Prime Members,Amazon Prime Video,Marketing
2020-05,104544.44,49699.34,18036.23,11773.73,10286.23,1507,54845.1,13241.92,10316.82,0.52,0.13,0.1,International Customers,Amazon Prime Video,Sales
2020-05,195767.31,47080.04,6711.47,12555.3,12423.74,1214.96,148687.27,115781.81,112312.39,0.76,0.59,0.57,International Customers,Amazon Prime Video,Operations
2020-05,194367.09,31598.29,14277.82,14294.75,8062.87,5050.22,162768.81,121083.15,118463.51,0.84,0.62,0.61,Non-Prime Members,Amazon Prime Video,Sales
2020-05,87767.34,43681.33,28019.17,6067.95,6701.66,3994.21,44086.01,-696.98,-2490.47,0.5,-0.01,-0.03,Non-Prime Members,Amazon Prime Video,Sales
2020-05,124587.28,30838.32,19611.22,13160.58,3409.2,4944.69,93748.96,52623.26,47776.7,0.75,0.42,0.38,Non-Prime Members,Amazon Prime Video,Marketing
2020-05,95131.75,34943.43,18458.3,3711.93,13387.13,3364.24,60188.32,21266.72,18220.85,0.63,0.22,0.19,Business Customers,Amazon Web Services (AWS),AWS
2020-05,92726.07,13564.98,11721.34,11165.53,12181.08,2482.46,79161.1,41610.69,37675.01,0.85,0.45,0.41,Non-Prime Members,Amazon Prime Video,Sales
2020-05,55533.04,40210.82,14211.22,11645.71,4185.54,7202.29,15322.23,-21922.53,-24566.72,0.28,-0.39,-0.44,Non-Prime Members,Amazon Prime Video,Sales
2020-05,141434.65,15108.54,27383.65,10810.4,8659.39,5631.14,126326.11,73841.53,71421,0.89,0.52,0.5,International Customers,Amazon Prime Video,Operations
2020-05,125401.85,43042.71,21661.58,5280.09,8335.87,2801.39,82359.15,44280.22,41651.56,0.66,0.35,0.33,International Customers,Amazon Prime Video,Operations
2020-05,57721.81,41281.12,24684.68,13349.56,10126.19,3876.3,16440.69,-35596.04,-38232.83,0.28,-0.62,-0.66,Prime Members,Electronics,Sales
2020-05,91796.97,38349.79,16358.64,4195.16,14300.43,6326.27,53447.18,12266.69,9089.96,0.58,0.13,0.1,International Customers,Amazon Prime Video,Sales
2020-05,186239.88,11446.42,20756.18,2697.25,9537.03,1650.06,174793.47,140152.94,136979.06,0.94,0.75,0.74,Non-Prime Members,Amazon Prime Video,Sales
2020-06,85934.28,22125.13,11209.59,11327.04,9022.82,2327.08,63809.15,29922.61,26934,0.74,0.35,0.31,Business Customers,Amazon Web Services (AWS),AWS
2020-06,71734.23,20524.5,22636.52,8181.18,2654.2,1659.21,51209.73,16078.61,14539.47,0.71,0.22,0.2,International Customers,Amazon Prime Video,Sales
2020-06,123417.91,24405.46,15690.03,13038.27,2817.8,8310.86,99012.46,59155.5,56171.2,0.8,0.48,0.46,International Customers,Amazon Prime Video,Operations
2020-06,197847.57,13505.71,16063.64,6984.16,4435.51,7771.68,184341.86,149086.87,147410.45,0.93,0.75,0.75,Non-Prime Members,Amazon Prime Video,Marketing
2020-06,86308.29,47478.31,21233.06,4187.62,2422.12,7779.82,38829.98,3207.36,1702.82,0.45,0.04,0.02,International Customers,Amazon Prime Video,Operations
2020-06,150820.33,32152.09,28407.02,12873.75,11663.59,7446.93,118668.24,58276.96,53546.38,0.79,0.39,0.36,International Customers,Amazon Prime Video,Operations
2020-06,164242.94,22220.97,6600.16,9135.83,11403.29,7024.47,142021.97,107858.22,104438.42,0.86,0.66,0.64,Non-Prime Members,Amazon Prime Video,Sales
2020-06,85645.63,25879.26,25618.58,4459.55,3768.73,5292.93,59766.37,20626.59,16988.63,0.7,0.24,0.2,International Customers,Amazon Prime Video,Sales
2020-06,159232.45,27888.1,12309.58,11364.99,12869.03,6780.5,131344.35,88020.25,85413.08,0.82,0.55,0.54,Business Customers,Amazon Web Services (AWS),Sales
2020-06,105167.47,34023.77,16097.99,8644.48,4012.22,1345.25,71143.7,41043.76,36407.84,0.68,0.39,0.35,Prime Members,Electronics,Marketing
2020-06,144845.87,30627.18,5547.83,9856.07,5915.28,6593.18,114218.7,86306.33,82754.61,0.79,0.6,0.57,International Customers,Amazon Prime Video,Sales
2020-06,145029.46,46775.68,12526.15,7991.68,5236.7,8000.9,98253.78,64498.35,60421.67,0.68,0.44,0.42,Business Customers,Amazon Web Services (AWS),Sales
2020-06,130366.2,29878.54,17565.78,12773.22,6839.99,5503.23,100487.66,57805.45,55331.2,0.77,0.44,0.42,International Customers,Amazon Prime Video,Sales
2020-06,63543.47,49686.32,6404.4,12784.32,5310.63,4217.62,13857.14,-14859.82,-19699.87,0.22,-0.23,-0.31,Prime Members,Electronics,Sales
2020-06,175295.37,44057,17277.39,11222.05,8356.36,3496.84,131238.38,90885.73,86603.88,0.75,0.52,0.49,Non-Prime Members,Amazon Prime Video,Sales
